perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.907,,,,
0.1,0.896,0.9878721058434399,0.0,0.012127894156560098,
0.2,0.885,0.9757442116868797,0.0,0.024255788313120197,
0.3,0.882,0.9724366041896362,0.0,0.02756339581036386,0.2727272727272727
0.4,0.878,0.9680264608599779,0.0,0.03197353914002208,0.5714285714285714
0.5,0.863,0.9514884233737596,0.0,0.048511576626240394,2.5
0.6,0.853,0.9404630650496141,0.0,0.059536934950385936,1.2121212121212122
0.7,0.836,0.9217199558985666,0.0,0.07828004410143337,1.9767441860465118
0.8,0.829,0.9140022050716647,0.0,0.08599779492833524,0.7
0.9,0.812,0.8952590959206175,0.0,0.10474090407938255,1.776119402985063
1.0,0.815,0.898566703417861,0.0,0.10143329658213901,-0.28571428571427554
