perturbation level,accuracy,RS,mCE,PDR,MDS
0.1,0.844,1.0,0.0,0.0,
0.2,0.807,0.9561611374407584,0.0,0.04383886255924162,
0.3,0.755,0.8945497630331753,0.0,0.10545023696682461,1.4054054054054097
0.4,0.73,0.8649289099526066,0.0,0.13507109004739334,0.5617977528089895
0.5,0.679,0.8045023696682465,0.0,0.19549763033175346,1.3421052631578931
0.6,0.631,0.7476303317535545,0.0,0.25236966824644547,1.1636363636363651
0.7,0.591,0.7002369668246445,0.0,0.29976303317535546,0.9389671361502357
0.8,0.57,0.6753554502369667,0.0,0.3246445497630332,0.4980237154150202
0.9,0.521,0.6172985781990522,0.0,0.38270142180094785,1.2518248175182463
1.0,0.431,0.5106635071090048,0.0,0.48933649289099523,2.2291021671826634
